"5C2AEF","  r2p Asia-Pacific Pty Ltd",,
"0023B9"," Airbus Defence and Space Deutschland GmbH",,
"0090CE"," avateramedical Mechatronics GmbH",,
"0008AC"," BST GmbH",,
"E8CBED"," Chipsea Technologies(Shenzhen) Corp.",,
"381EC7"," Chipsea Technologies(Shenzhen) Corp.",,
"A0B437"," GD Mission Systems",,
"38EFE3"," INGENICO TERMINALS SAS",,
"B40016"," INGENICO TERMINALS SAS",,
"101EDA"," INGENICO TERMINALS SAS",,
"C8DE51"," IntegraOptics",,
"001D40"," Intel – GE Care Innovations LLC",,
"001650"," Kratos EPD    ",,
"4C910C"," Lanix Internacional, S.A. de C.V.",,
"140020"," LongSung Technology (Shanghai) Co.,Ltd.   ",,
"B812DA"," LVSWITCHES INC.",,
"843B10"," LVSWITCHES INC.",,
"30B62D"," Mojo Networks, Inc.",,
"E4D124"," Mojo Networks, Inc.",,
"001174"," Mojo Networks, Inc.",,
"88B1E1"," Mojo Networks, Inc.",,
"E8C1B8"," Nanjing Bangzhong Electronic Commerce Limited",,
"34ED0B"," Shanghai XZ-COM.CO.,Ltd.",,
"809733"," Shenzhen Elebao Technology Co., Ltd",,
"E01283"," Shenzhen Fanzhuo Communication Technology Co., Lt",,
"584704"," Shenzhen Webridge Technology Co.,Ltd",,
"1CB3E9"," Shenzhen Zhongke United Communication Technology ",,
"C87324"," Sow Cheng Technology Co. Ltd.",,
"00048D"," Teo Technologies, Inc",,
"002289"," Vanderlande APC inc.",,
"0023D5"," WAREMA Renkhoff SE",,
"541473"," Wingtech Group (HongKong）Limited",,
"B02A1F"," Wingtech Group (HongKong）Limited",,
"14169E"," Wingtech Group (HongKong）Limited",,
"2C5731"," Wingtech Group (HongKong）Limited",,
"A444D1"," Wingtech Group (HongKong）Limited",,
"00256C","""Azimut"" Production Association JSC",,
"001ECB","""RPC ""Energoautomatika"" Ltd",,
"00081C","@pos.com",,
"000604","@Track Communications, Inc.",,
"30F33A","+plugg srl",,
"700258","01DB-METRAVIB",,
"C49313","100fio networks technology llc",,
"080024","10NET COMMUNICATIONS/DCA",,
"000B10","11wave Technonlogy Co.,Ltd",,
"A85EE4","12Sided Technology, LLC",,
"005029","1394 PRINTER WORKING GROUP",,
"00A02D","1394 Trade Association",,
"001974","16063",,
"189552","1MORE",,
"78A7EB","1MORE",,
"9C9789","1MORE",,
"6CCE44","1MORE",,
"003070","1Net Corporation",,
"54369B","1Verge Internet Technology (Beijing) Co., Ltd.",,
"443719","2 Save Energy Ltd",,
"0011B2","2001 Technology Inc.",,
"0025C3","21168",,
"EC9681","2276427 Ontario Inc",,
"001387","27M Technologies AB",,
"000761","29530",,
"148919","2bps",,
"28F358","2C - Trifonov & Co",,
"3C3F51","2CRSI",,
"0016A9","2EI",,
"B8B7D7","2GIG Technologies",,
"001B8A","2M Electronic A/S",,
"001929","2M2B Montadora de Maquinas Bahia Brasil LTDA",,
"7C1EB3","2N TELEKOMUNIKACE a.s.",,
"001199","2wcom Systems GmbH",,
"F82C18","2Wire Inc",,
"0022A4","2Wire Inc",,
"982CBE","2Wire Inc",,
"640F28","2Wire Inc",,
"001495","2Wire Inc",,
"60C397","2Wire Inc",,
"00D09E","2Wire Inc",,
"0019E4","2Wire Inc",,
"001AC4","2Wire Inc",,
"001B5B","2Wire Inc",,
"3CEA4F","2Wire Inc",,
"DC7FA4","2Wire Inc",,
"001EC7","2Wire Inc",,
"002650","2Wire Inc",,
"002351","2Wire Inc",,
"749DDC","2Wire Inc",,
"383BC8","2Wire Inc",,
"60FE20","2Wire Inc",,
"002456","2Wire Inc",,
"C0830A","2Wire Inc",,
"00183F","2Wire Inc",,
"14EDBB","2Wire Inc",,
"00253C","2Wire Inc",,
"34EF44","2Wire Inc",,
"B0E754","2Wire Inc",,
"B8E625","2Wire Inc",,
"001D5A","2Wire Inc",,
"28162E","2Wire Inc",,
"F81897","2Wire Inc",,
"94C150","2Wire Inc",,
"000D72","2Wire Inc",,
"001288","2Wire Inc",,
"00217C","2Wire Inc",,
"001FB3","2Wire Inc",,
"000FA2","2xWireless",,
"0022F0","3 Greens Aviation Limited",,
"001840","3 Phoenix, Inc.",,
"001C6C","30805",,
"385319","34ED LLC DBA Centegix",,
"B4EF1C","360 AI Technology Co.Ltd",,
"E4BAD9","360 Fly Inc.",,
"000556","360 Systems",,
"000E60","360SUN Digital Broadband Corporation",,
"B06CBF","3ality Digital Systems GmbH",,
"2C029F","3ALogics",,
"000F05","3B SYSTEM INC.",,
"1C7E51","3bumen.com",,
"005004","3COM",,
"000103","3COM",,
"02C08C","3COM",,
"000A5E","3COM",,
"00105A","3COM",,
"006097","3COM",,
"006008","3COM",,
"000102","3COM",,
"002654","3COM",,
"0050DA","3COM",,
"000476","3COM",,
"000475","3COM",,
"00608C","3COM",,
"00A024","3COM",,
"0020AF","3COM",,
"00104B","3COM",,
"00068C","3COM",,
"02608C","3COM",,
"00D0D8","3COM",,
"00029C","3COM",,
"00051A","3COM EUROPE LTD",,
"08004E","3COM EUROPE LTD",,
"00301E","3COM EUROPE LTD",,
"00040B","3COM EUROPE LTD",,
"4001C6","3COM EUROPE LTD",,
"00D096","3COM EUROPE LTD",,
"002257","3COM EUROPE LTD",,
"005099","3COM EUROPE LTD",,
"002473","3COM EUROPE LTD",,
"009004","3COM EUROPE LTD",,
"20FDF1","3COM EUROPE LTD",,
"001EC1","3COM EUROPE LTD",,
"001AC1","3Com Ltd",,
"0012A9","3Com Ltd",,
"00186E","3Com Ltd",,
"00147C","3Com Ltd",,
"000BAC","3Com Ltd",,
"000A04","3Com Ltd",,
"0016E0","3Com Ltd",,
"001CC5","3Com Ltd",,
"000FCB","3Com Ltd",,
"000E6A","3Com Ltd",,
"000D54","3Com Ltd",,
"00603D","3CX",,
"BC25F0","3D Display Technologies Co., Ltd.",,
"8C4B59","3D Imaging & Simulations Corp",,
"C0A364","3D Systems Massachusetts",,
"0021C5","3DSP Corp",,
"0007D5","3e Technologies Int;., Inc.",,
"00A0B5","3H TECHNOLOGY",,
"CCF538","3isysnetworks",,
"0009B5","3J Tech. Co., Ltd.",,
"0016A1","3Leaf Networks",,
"080021","3M COMPANY",,
"000649","3M Deutschland GmbH",,
"0015C2","3M Germany",,
"3863F6","3NOD MULTIMEDIA(SHENZHEN)CO.,LTD",,
"00226F","3onedata Technology Co. Ltd.",,
"0002AC","3PAR data",,
"5C56ED","3pleplay Electronics Private Limited",,
"A8556A","3S System Technology Inc.",,
"0017A1","3soft inc.",,
"0008DE","3UP Systems",,
"70E139","3view Ltd",,
"00050E","3ware, Inc.",,
"001A8E","3Way Networks Ltd",,
